short_name,skip_score,location_city,cussine_list
1600 world bier haus,91,Calgary,Pub Food
2 claw burritos,99,Calgary,"Spanish, Latin American, Mexican"
2 for 1 pizza house,90,Calgary,"Italian, Indian"
2030 cafe,85,Calgary,Chinese
241 pizza,98,Calgary,Fast Food
360 shawarma & pizza,80,Calgary,Middle Eastern
4 corners,80,Calgary,Fast Food
402 bbq,82,Calgary,Fast Food
4th street pizza,97,Calgary,Italian
5 senses ramen & sushi,80,Calgary,"French, Japanese"
500 cucina,80,Calgary,Italian
500 cucina - just eat,75,Calgary,Italian
7-eleven,84,Calgary,"Fast Food, Convenience"
722 world bier haus,93,Calgary,Pub Food
80 ate indo chinese fusion house,72,Calgary,"Indian, Chinese"
a la saj,80,Calgary,Middle Eastern
a perfect pizza,80,Calgary,Italian
a plus 1,88,Calgary,Convenience
a taste of quebec,80,Calgary,"Pub Food, French"
a taste of saigon,80,Calgary,Vietnamese
a to z fusion kitchen,80,Calgary,"Fast Food, Indian"
a touch of ginger delight,80,Calgary,"Thai, Vietnamese, Chinese"
a touch of ginger downtown,80,Calgary,"Thai, Vietnamese"
a touch of india,72,Calgary,Indian
a&p chinese food express,92,Calgary,Chinese
a&w,67,Calgary,Fast Food
a+ buffet sushi bar,74,Calgary,Japanese
a1 spice & grocery,80,Calgary,Convenience
aaa donair and jamaican cuisine,80,Calgary,Caribbean
aaliya's pizzeria and shawarma café,89,Calgary,"Middle Eastern, Italian"
abyssinia ethiopian and eritrean cuisine,78,Calgary,Ethiopian
actually pretty good,89,Calgary,Italian
adams grocery and convenience store,72,Calgary,Convenience
adams indian food store,72,Calgary,Indian
adana shawarma & grill,80,Calgary,Middle Eastern
add more fries,93,Calgary,"Fast Food, Latin American, Mexican"
adobo experience,67,Calgary,Filipino
afghan kabob,80,Calgary,Middle Eastern
agni fine indian cuisine,95,Calgary,Indian
ahinke's kitchen,80,Calgary,Caribbean
aida's bistro,94,Calgary,Middle Eastern
aida's donair,87,Calgary,Mediterranean
ajisai japanese cuisine,82,Calgary,Japanese
aki ramen,87,Calgary,Japanese
al's pizza and steakhouse,97,Calgary,Italian
al-madina shawarma,95,Calgary,Middle Eastern
aladdin donair and pizza and fritou fried chicken,70,Calgary,"Middle Eastern, Pub Food"
alberta king of subs,95,Calgary,"Fast Food, Pub Food"
aldayaa shawarma,80,Calgary,Mediterranean
alforno bakery & cafe,90,Calgary,Italian
alibaba kabob house inc.,80,Calgary,"Indian, Mediterranean"
all beef catering and smokehouse,77,Calgary,Pub Food
alley burger,79,Calgary,Fast Food
amantea italian restaurant,82,Calgary,Italian
amato gelato,93,Calgary,Italian
amaya indian street food,80,Calgary,Indian
ami tea,78,Calgary,Vietnamese
ami tea & sub,80,Calgary,Vietnamese
ami tea inglewood,95,Calgary,Vietnamese
amici italian grill,80,Calgary,Italian
amico chef,93,Calgary,Italian
amigo taco & burrito co.,83,Calgary,Mexican
amigo taco and burrito co.,82,Calgary,Mexican
amitea heritage,93,Calgary,Fast Food
amritsari tadka restaurant,79,Calgary,Indian
an nam pho vietnamese cuisine and grill,80,Calgary,Vietnamese
an-nam pho vietnamese cuisine and grill,80,Calgary,"Vietnamese, Chinese"
anatolia turkish restaurant,72,Calgary,Mediterranean
anaya bbq hut and chaat house,100,Calgary,Indian
andaro's pizza,94,Calgary,"Pub Food, Italian"
annabelle's kitchen,93,Calgary,Italian
anything cafe vietnamese cuisine,80,Calgary,Vietnamese
aplus donair,80,Calgary,Mediterranean
apple inn chinese restaurant,94,Calgary,Chinese
arashi japanese restaurant,98,Calgary,Japanese
arby's,92,Calgary,Fast Food
arch persian lounge,80,Calgary,Mediterranean
arepas ranch,84,Calgary,"Fast Food, Mexican"
ari sushi,80,Calgary,Japanese
aroma café bar,75,Calgary,Mexican
aroma dim sum,87,Calgary,Chinese
asadal korean cuisine,97,Calgary,Korean
ashwani's indian kitchen,81,Calgary,Indian
asian buffet,95,Calgary,Chinese
asian grill bbq & chinese halal,80,Calgary,"Middle Eastern, Indian"
asian village wok and grill,98,Calgary,"Japanese, Chinese, Vietnamese"
august moon,91,Calgary,Chinese
aujla's,80,Calgary,"Pub Food, Indian"
aujla's restaurant bar & grill,71,Calgary,"Pub Food, Indian"
auntie's chinese burger,80,Calgary,Chinese
authentic desi grocery and meats,72,Calgary,"Convenience, Indian"
avenue 16 kitchen & bar,93,Calgary,Pub Food
avesta shawarma,81,Calgary,"Fast Food, Middle Eastern"
avi's kabob & shawarma,85,Calgary,Mediterranean
azalea korean cuisine,85,Calgary,Korean
ba mien quan,90,Calgary,Vietnamese
baaug,75,Calgary,Indian
baba ka dhaba,80,Calgary,Indian
babaz shawarma,92,Calgary,"Pub Food, Mediterranean"
babylon fast food,80,Calgary,Fast Food
babylon qithara,75,Calgary,"Middle Eastern, Mediterranean"
badshah curry house,67,Calgary,Indian
bagolac saigon,98,Calgary,"Thai, Vietnamese"
baladi shawarma,95,Calgary,"Middle Eastern, Fast Food"
bali resto,88,Calgary,Middle Eastern
balo vietnamese,80,Calgary,Vietnamese
balo vietnamese evening,80,Calgary,Vietnamese
bamboo-house chinese food,91,Calgary,Chinese
bami vietnamese eatery,98,Calgary,Vietnamese
